"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",7.48e+04 100 %,7.48e+04 100 %
"<program root>",7.48e+04 100 %,
"main",7.48e+04 100 %,7.48e+04 100 %
"loop at : 308",7.48e+04 100 %,
"loop at : 335",3.67e+04 49.0%,3.67e+04 49.0%
": 336",3.67e+04 49.0%,3.67e+04 49.0%
"loop at : 325",2.70e+04 36.0%,2.70e+04 36.0%
": 326",2.70e+04 36.0%,2.70e+04 36.0%
"loop at : 315",1.12e+04 15.0%,1.12e+04 15.0%
": 316",1.12e+04 15.0%,1.12e+04 15.0%
