"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",3.18e+05 100 %,3.18e+05 100 %
"<program root>",3.18e+05 100 %,
"main",3.18e+05 100 %,3.12e+05 98.1%
"loop at : 308",2.72e+05 85.5%,
"loop at : 335",1.19e+05 37.4%,1.19e+05 37.4%
": 336",1.19e+05 37.4%,1.19e+05 37.4%
"loop at : 315",6.08e+04 19.1%,6.08e+04 19.1%
": 315",3.99e+04 12.5%,3.99e+04 12.5%
": 316",2.10e+04  6.6%,2.10e+04  6.6%
"loop at : 325",4.80e+04 15.1%,4.80e+04 15.1%
": 326",4.80e+04 15.1%,4.80e+04 15.1%
"loop at : 345",4.40e+04 13.9%,4.40e+04 13.9%
": 346",2.78e+04  8.8%,2.78e+04  8.8%
": 345",1.62e+04  5.1%,1.62e+04  5.1%
"loop at : 269",4.02e+04 12.7%,4.02e+04 12.7%
": 270",2.24e+04  7.1%,2.24e+04  7.1%
": 272",1.78e+04  5.6%,1.78e+04  5.6%
"checkSTREAMresults",5.89e+03  1.9%,5.89e+03  1.9%
"loop at : 463",5.89e+03  1.9%,5.89e+03  1.9%
": 464",5.89e+03  1.9%,5.89e+03  1.9%
