"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.53e+05 100 %,1.53e+05 100 %
"<program root>",1.53e+05 100 %,
"main",1.53e+05 100 %,1.53e+05 100 %
"loop at : 308",1.53e+05 100 %,
"loop at : 345",6.54e+04 42.8%,6.54e+04 42.8%
": 346",5.37e+04 35.1%,5.37e+04 35.1%
": 345",1.17e+04  7.7%,1.17e+04  7.7%
"loop at : 315",5.87e+04 38.4%,5.87e+04 38.4%
": 316",3.14e+04 20.5%,3.14e+04 20.5%
": 315",2.74e+04 17.9%,2.74e+04 17.9%
"loop at : 335",2.88e+04 18.8%,2.88e+04 18.8%
": 336",2.88e+04 18.8%,2.88e+04 18.8%
