"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",6.30e+05 100 %,6.30e+05 100 %
"<program root>",6.30e+05 100 %,
"main",6.30e+05 100 %,6.11e+05 97.1%
"loop at : 308",5.09e+05 80.8%,
"loop at : 335",1.50e+05 23.8%,1.50e+05 23.8%
": 336",1.21e+05 19.3%,1.21e+05 19.3%
": 335",2.88e+04  4.6%,2.88e+04  4.6%
"loop at : 325",1.25e+05 19.9%,1.25e+05 19.9%
": 326",1.20e+05 19.0%,1.20e+05 19.0%
": 325",5.78e+03  0.9%,5.78e+03  0.9%
"loop at : 315",1.21e+05 19.2%,1.21e+05 19.2%
": 316",9.97e+04 15.8%,9.97e+04 15.8%
": 315",2.15e+04  3.4%,2.15e+04  3.4%
"loop at : 345",1.12e+05 17.8%,1.12e+05 17.8%
": 346",6.47e+04 10.3%,6.47e+04 10.3%
": 345",4.74e+04  7.5%,4.74e+04  7.5%
"loop at : 269",1.03e+05 16.3%,1.03e+05 16.3%
": 272",5.55e+04  8.8%,5.55e+04  8.8%
": 271",3.30e+04  5.2%,3.30e+04  5.2%
": 270",1.41e+04  2.2%,1.41e+04  2.2%
"checkSTREAMresults",1.86e+04  2.9%,1.86e+04  2.9%
"loop at : 463",1.86e+04  2.9%,1.86e+04  2.9%
": 466",1.24e+04  2.0%,1.24e+04  2.0%
": 465",6.20e+03  1.0%,6.20e+03  1.0%
