"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",5.23e+06 100 %,5.23e+06 100 %
"<program root>",5.23e+06 100 %,
"main",5.23e+06 100 %,4.96e+06 94.9%
"loop at : 308",3.79e+06 72.5%,
"loop at : 345",1.09e+06 20.9%,1.09e+06 20.9%
": 346",7.93e+05 15.2%,7.93e+05 15.2%
": 345",2.98e+05  5.7%,2.98e+05  5.7%
"loop at : 335",1.01e+06 19.3%,1.01e+06 19.3%
": 336",7.79e+05 14.9%,7.79e+05 14.9%
": 335",2.31e+05  4.4%,2.31e+05  4.4%
"loop at : 315",8.66e+05 16.6%,8.66e+05 16.6%
": 316",4.72e+05  9.0%,4.72e+05  9.0%
": 315",3.94e+05  7.5%,3.94e+05  7.5%
"loop at : 325",8.23e+05 15.8%,8.23e+05 15.8%
": 326",5.94e+05 11.4%,5.94e+05 11.4%
": 325",2.29e+05  4.4%,2.29e+05  4.4%
"loop at : 269",1.06e+06 20.3%,1.06e+06 20.3%
": 272",4.08e+05  7.8%,4.08e+05  7.8%
": 271",3.35e+05  6.4%,3.35e+05  6.4%
": 270",2.87e+05  5.5%,2.87e+05  5.5%
": 269",3.24e+04  0.6%,3.24e+04  0.6%
"checkSTREAMresults",2.65e+05  5.1%,2.65e+05  5.1%
"loop at : 463",2.65e+05  5.1%,2.65e+05  5.1%
": 465",9.81e+04  1.9%,9.81e+04  1.9%
": 466",8.68e+04  1.7%,8.68e+04  1.7%
": 464",6.40e+04  1.2%,6.40e+04  1.2%
": 463",1.60e+04  0.3%,1.60e+04  0.3%
"loop at : 288",1.07e+05  2.1%,1.07e+05  2.1%
": 289",1.07e+05  2.1%,1.07e+05  2.1%
