"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",1.24e+05 100 %,1.24e+05 100 %
"<program root>",1.24e+05 100 %,
"main",1.24e+05 100 %,1.24e+05 100 %
"loop at : 308",1.12e+05 90.1%,
"loop at : 325",5.44e+04 43.7%,5.44e+04 43.7%
": 326",3.38e+04 27.2%,3.38e+04 27.2%
": 325",2.06e+04 16.5%,2.06e+04 16.5%
"loop at : 345",2.32e+04 18.6%,2.32e+04 18.6%
": 346",2.32e+04 18.6%,2.32e+04 18.6%
"loop at : 315",2.29e+04 18.4%,2.29e+04 18.4%
": 316",1.24e+04 10.0%,1.24e+04 10.0%
": 315",1.05e+04  8.4%,1.05e+04  8.4%
"loop at : 335",1.17e+04  9.4%,1.17e+04  9.4%
": 335",1.17e+04  9.4%,1.17e+04  9.4%
"loop at : 288",1.23e+04  9.9%,1.23e+04  9.9%
": 289",1.23e+04  9.9%,1.23e+04  9.9%
