"Scope","CPUTIME (usec).[0,0] (I)","CPUTIME (usec).[0,0] (E)"
"Experiment Aggregate Metrics",2.19e+06 100 %,2.19e+06 100 %
"<program root>",2.19e+06 100 %,
"main",2.19e+06 100 %,2.06e+06 93.9%
"loop at : 308",1.53e+06 70.1%,
"loop at : 335",4.72e+05 21.6%,4.72e+05 21.6%
": 336",3.97e+05 18.1%,3.97e+05 18.1%
": 335",7.56e+04  3.5%,7.56e+04  3.5%
"loop at : 345",3.94e+05 18.0%,3.94e+05 18.0%
": 346",3.42e+05 15.6%,3.42e+05 15.6%
": 345",5.17e+04  2.4%,5.17e+04  2.4%
"loop at : 325",3.51e+05 16.0%,3.51e+05 16.0%
": 326",3.24e+05 14.8%,3.24e+05 14.8%
": 325",2.70e+04  1.2%,2.70e+04  1.2%
"loop at : 315",3.18e+05 14.5%,3.18e+05 14.5%
": 316",2.71e+05 12.4%,2.71e+05 12.4%
": 315",4.65e+04  2.1%,4.65e+04  2.1%
"loop at : 269",4.81e+05 22.0%,4.81e+05 22.0%
": 270",2.03e+05  9.3%,2.03e+05  9.3%
": 271",1.51e+05  6.9%,1.51e+05  6.9%
": 272",1.20e+05  5.5%,1.20e+05  5.5%
": 269",6.35e+03  0.3%,6.35e+03  0.3%
"checkSTREAMresults",1.35e+05  6.1%,1.35e+05  6.1%
"loop at : 463",1.35e+05  6.1%,1.35e+05  6.1%
": 465",6.87e+04  3.1%,6.87e+04  3.1%
": 464",3.98e+04  1.8%,3.98e+04  1.8%
": 466",2.61e+04  1.2%,2.61e+04  1.2%
"loop at : 288",3.93e+04  1.8%,3.93e+04  1.8%
": 288",2.39e+04  1.1%,2.39e+04  1.1%
": 289",1.54e+04  0.7%,1.54e+04  0.7%
